route_id,n_nodes,qubit_count,exploration_percent,batch_count,xy_mixer,amazon_cost,hybrid_cost,cost_diff_abs,cost_diff_pct,improvement_pct,runtime_sec
RouteID_e55ef2d8-f806-4c87-a3a1-b62a3b79d51b,110,2,0.0,1,False,5373.1,5901.4,528.3,9.83,-9.83,3.823
RouteID_e55ef2d8-f806-4c87-a3a1-b62a3b79d51b,110,2,0.0,2,False,5373.1,5620.0,246.9,4.6,-4.6,1.924
RouteID_e55ef2d8-f806-4c87-a3a1-b62a3b79d51b,110,2,0.2,1,False,5373.1,5901.4,528.3,9.83,-9.83,3.786
RouteID_e55ef2d8-f806-4c87-a3a1-b62a3b79d51b,110,2,0.2,2,False,5373.1,5620.0,246.9,4.6,-4.6,1.896
RouteID_e55ef2d8-f806-4c87-a3a1-b62a3b79d51b,110,3,0.0,1,False,5373.1,4978.3,-394.8,-7.35,7.35,8.407
RouteID_e55ef2d8-f806-4c87-a3a1-b62a3b79d51b,110,3,0.0,2,False,5373.1,4807.1,-566.0,-10.53,10.53,4.248
RouteID_e55ef2d8-f806-4c87-a3a1-b62a3b79d51b,110,3,0.0,3,False,5373.1,5243.5,-129.6,-2.41,2.41,2.856
RouteID_e55ef2d8-f806-4c87-a3a1-b62a3b79d51b,110,3,0.2,1,False,5373.1,4978.3,-394.8,-7.35,7.35,8.353
RouteID_e55ef2d8-f806-4c87-a3a1-b62a3b79d51b,110,3,0.2,2,False,5373.1,4807.1,-566.0,-10.53,10.53,4.382
RouteID_e55ef2d8-f806-4c87-a3a1-b62a3b79d51b,110,3,0.2,3,False,5373.1,5243.5,-129.6,-2.41,2.41,2.845
RouteID_7fdfbbb9-570a-48e1-a357-401d7d059f31,127,2,0.0,1,False,14634.5,15155.5,521.0,3.56,-3.56,4.389
RouteID_7fdfbbb9-570a-48e1-a357-401d7d059f31,127,2,0.0,2,False,14634.5,16007.5,1373.0,9.38,-9.38,2.331
RouteID_7fdfbbb9-570a-48e1-a357-401d7d059f31,127,2,0.2,1,False,14634.5,15155.5,521.0,3.56,-3.56,4.374
RouteID_7fdfbbb9-570a-48e1-a357-401d7d059f31,127,2,0.2,2,False,14634.5,16007.5,1373.0,9.38,-9.38,2.332
RouteID_7fdfbbb9-570a-48e1-a357-401d7d059f31,127,3,0.0,1,False,14634.5,15233.6,599.1,4.09,-4.09,9.724
RouteID_7fdfbbb9-570a-48e1-a357-401d7d059f31,127,3,0.0,2,False,14634.5,14832.5,198.0,1.35,-1.35,5.007
RouteID_7fdfbbb9-570a-48e1-a357-401d7d059f31,127,3,0.0,3,False,14634.5,15712.9,1078.4,7.37,-7.37,3.266
RouteID_7fdfbbb9-570a-48e1-a357-401d7d059f31,127,3,0.2,1,False,14634.5,15233.6,599.1,4.09,-4.09,9.646
RouteID_7fdfbbb9-570a-48e1-a357-401d7d059f31,127,3,0.2,2,False,14634.5,14832.5,198.0,1.35,-1.35,5.068
RouteID_7fdfbbb9-570a-48e1-a357-401d7d059f31,127,3,0.2,3,False,14634.5,15712.9,1078.4,7.37,-7.37,3.305
RouteID_f472323a-6317-45fe-adde-5539e463687f,155,2,0.0,1,False,11785.2,13359.5,1574.3,13.36,-13.36,5.112
RouteID_f472323a-6317-45fe-adde-5539e463687f,155,2,0.0,2,False,11785.2,13769.9,1984.7,16.84,-16.84,2.829
RouteID_f472323a-6317-45fe-adde-5539e463687f,155,2,0.2,1,False,11785.2,13359.5,1574.3,13.36,-13.36,5.183
RouteID_f472323a-6317-45fe-adde-5539e463687f,155,2,0.2,2,False,11785.2,13769.9,1984.7,16.84,-16.84,2.821
RouteID_f472323a-6317-45fe-adde-5539e463687f,155,3,0.0,1,False,11785.2,11276.1,-509.1,-4.32,4.32,11.771
RouteID_f472323a-6317-45fe-adde-5539e463687f,155,3,0.0,2,False,11785.2,12022.0,236.8,2.01,-2.01,6.06
RouteID_f472323a-6317-45fe-adde-5539e463687f,155,3,0.0,3,False,11785.2,11612.7,-172.5,-1.46,1.46,4.022
RouteID_f472323a-6317-45fe-adde-5539e463687f,155,3,0.2,1,False,11785.2,11276.1,-509.1,-4.32,4.32,11.812
RouteID_f472323a-6317-45fe-adde-5539e463687f,155,3,0.2,2,False,11785.2,12022.0,236.8,2.01,-2.01,6.104
RouteID_f472323a-6317-45fe-adde-5539e463687f,155,3,0.2,3,False,11785.2,11612.7,-172.5,-1.46,1.46,4.047
RouteID_539d83c2-0f77-496a-a68c-9431daf9186f,119,2,0.0,1,False,11495.8,9874.7,-1621.1,-14.1,14.1,4.108
RouteID_539d83c2-0f77-496a-a68c-9431daf9186f,119,2,0.0,2,False,11495.8,10257.7,-1238.1,-10.77,10.77,2.131
RouteID_539d83c2-0f77-496a-a68c-9431daf9186f,119,2,0.2,1,False,11495.8,9874.7,-1621.1,-14.1,14.1,4.089
RouteID_539d83c2-0f77-496a-a68c-9431daf9186f,119,2,0.2,2,False,11495.8,10257.7,-1238.1,-10.77,10.77,2.211
RouteID_539d83c2-0f77-496a-a68c-9431daf9186f,119,3,0.0,1,False,11495.8,9719.1,-1776.7,-15.46,15.46,9.083
RouteID_539d83c2-0f77-496a-a68c-9431daf9186f,119,3,0.0,2,False,11495.8,10581.9,-913.9,-7.95,7.95,4.59
RouteID_539d83c2-0f77-496a-a68c-9431daf9186f,119,3,0.0,3,False,11495.8,10726.0,-769.8,-6.7,6.7,3.134
RouteID_539d83c2-0f77-496a-a68c-9431daf9186f,119,3,0.2,1,False,11495.8,9719.1,-1776.7,-15.46,15.46,9.275
RouteID_539d83c2-0f77-496a-a68c-9431daf9186f,119,3,0.2,2,False,11495.8,10581.9,-913.9,-7.95,7.95,4.557
RouteID_539d83c2-0f77-496a-a68c-9431daf9186f,119,3,0.2,3,False,11495.8,10726.0,-769.8,-6.7,6.7,3.101
RouteID_a44c08be-1a04-4b84-89c0-4d4f85aafa70,82,2,0.0,1,False,4610.4,4600.7,-9.7,-0.21,0.21,2.726
RouteID_a44c08be-1a04-4b84-89c0-4d4f85aafa70,82,2,0.0,2,False,4610.4,4993.2,382.8,8.3,-8.3,1.387
RouteID_a44c08be-1a04-4b84-89c0-4d4f85aafa70,82,2,0.2,1,False,4610.4,4600.7,-9.7,-0.21,0.21,2.776
RouteID_a44c08be-1a04-4b84-89c0-4d4f85aafa70,82,2,0.2,2,False,4610.4,4993.2,382.8,8.3,-8.3,1.42
RouteID_a44c08be-1a04-4b84-89c0-4d4f85aafa70,82,3,0.0,1,False,4610.4,4173.8,-436.6,-9.47,9.47,6.01
RouteID_a44c08be-1a04-4b84-89c0-4d4f85aafa70,82,3,0.0,2,False,4610.4,4783.6,173.2,3.76,-3.76,3.044
RouteID_a44c08be-1a04-4b84-89c0-4d4f85aafa70,82,3,0.0,3,False,4610.4,4520.2,-90.2,-1.96,1.96,2.136
RouteID_a44c08be-1a04-4b84-89c0-4d4f85aafa70,82,3,0.2,1,False,4610.4,4173.8,-436.6,-9.47,9.47,6.038
RouteID_a44c08be-1a04-4b84-89c0-4d4f85aafa70,82,3,0.2,2,False,4610.4,4783.6,173.2,3.76,-3.76,3.034
RouteID_a44c08be-1a04-4b84-89c0-4d4f85aafa70,82,3,0.2,3,False,4610.4,4520.2,-90.2,-1.96,1.96,2.145
